iter	Passed	Remaining
605	10885	5281
606	10908	5265
607	10934	5251
608	10959	5236
609	10985	5222
610	11005	5205
611	11022	5187
612	11042	5169
613	11059	5151
614	11076	5133
615	11094	5114
616	11119	5099
617	11144	5085
618	11169	5070
619	11195	5056
620	11215	5038
621	11230	5019
622	11246	5000
623	11262	4981
624	11275	4961
625	11289	4941
626	11304	4922
627	11324	4905
628	11351	4890
629	11377	4876
630	11403	4861
631	11429	4846
632	11450	4829
633	11465	4810
634	11480	4791
635	11494	4771
636	11510	4752
637	11527	4733
638	11552	4718
639	11576	4702
640	11600	4687
641	11622	4670
642	11646	4654
643	11667	4637
644	11689	4621
645	11719	4607
646	11740	4590
647	11758	4572
648	11781	4556
649	11803	4539
650	11828	4524
651	11851	4507
652	11871	4490
653	11884	4470
654	11900	4451
655	11914	4431
656	11928	4412
657	11943	4392
658	11991	4385
659	12017	4369
660	12035	4351
661	12064	4337
662	12087	4320
663	12105	4302
664	12120	4283
665	12134	4263
666	12148	4243
667	12164	4224
668	12179	4205
669	12196	4186
670	12216	4169
671	12244	4154
672	12270	4138
673	12295	4122
674	12322	4107
675	12354	4093
676	12373	4075
677	12388	4056
678	12404	4037
679	12419	4017
680	12436	3999
681	12459	3982
682	12485	3966
683	12514	3951
684	12540	3935
685	12560	3918
686	12583	3901
687	12602	3883
688	12619	3864
689	12634	3845
690	12653	3827
691	12676	3810
692	12703	3794
693	12732	3779
694	12759	3763
695	12781	3746
696	12797	3727
697	12811	3707
698	12828	3688
699	12845	3670
700	12862	3651
701	12880	3633
702	12904	3616
703	12928	3599
704	12952	3582
705	12994	3570
706	13015	3552
707	13031	3534
708	13046	3514
709	13062	3495
710	13076	3476
711	13094	3457
712	13117	3440
713	13144	3424
714	13168	3407
715	13192	3390
716	13213	3372
717	13230	3353
718	13244	3334
719	13259	3314
720	13277	3296
721	13302	3279
722	13328	3263
723	13355	3246
724	13385	3231
725	13416	3215
726	13435	3197
727	13450	3177
728	13465	3158
729	13480	3139
730	13495	3119
731	13510	3100
732	13528	3082
733	13552	3065
734	13575	3047
735	13598	3030
736	13623	3013
737	13648	2995
738	13666	2977
739	13681	2958
740	13695	2938
741	13710	2919
742	13724	2900
743	13741	2881
744	13770	2865
745	13800	2848
746	13824	2831
747	13850	2814
748	13870	2796
749	13886	2777
750	13901	2758
751	13916	2738
752	13931	2719
753	13946	2700
754	13972	2683
755	13997	2666
756	14023	2649
757	14050	2632
758	14072	2614
759	14089	2595
760	14104	2576
761	14124	2558
762	14141	2539
763	14157	2520
764	14182	2502
765	14209	2485
766	14235	2468
767	14263	2451
768	14301	2436
769	14318	2417
770	14332	2398
771	14348	2379
772	14363	2359
773	14379	2340
774	14395	2321
775	14419	2304
776	14448	2287
777	14476	2270
778	14503	2252
779	14524	2234
780	14545	2216
781	14571	2198
782	14592	2180
783	14610	2161
784	14650	2146
785	14682	2129
786	14713	2112
787	14737	2094
788	14756	2076
789	14776	2057
790	14794	2038
791	14814	2020
792	14848	2003
793	14878	1986
794	14905	1968
795	14926	1950
796	14944	1931
797	14967	1913
798	14994	1895
799	15015	1876
800	15043	1859
801	15080	1842
802	15112	1825
803	15136	1807
804	15156	1788
805	15172	1769
806	15186	1750
807	15201	1730
808	15219	1711
809	15260	1695
810	15293	1678
811	15321	1660
812	15348	1642
813	15372	1624
814	15392	1605
815	15408	1586
816	15423	1566
817	15438	1547
818	15452	1528
819	15467	1509
820	15483	1489
821	15506	1471
822	15530	1453
823	15554	1434
824	15579	1416
825	15603	1397
826	15623	1379
827	15639	1359
828	15657	1341
829	15674	1321
830	15689	1302
831	15709	1283
832	15735	1265
833	15760	1247
834	15787	1228
835	15813	1210
836	15832	1191
837	15846	1172
838	15862	1153
839	15897	1135
840	15927	1117
841	15953	1098
842	15976	1080
843	16003	1061
844	16028	1043
845	16049	1024
846	16065	1005
847	16081	986
848	16097	966
849	16112	947
850	16127	928
851	16141	909
852	16165	890
853	16185	871
854	16210	853
855	16235	834
856	16259	815
857	16283	797
858	16300	778
859	16315	758
860	16330	739
861	16345	720
862	16362	701
863	16385	682
864	16407	663
865	16433	645
866	16457	626
867	16480	607
868	16499	588
869	16516	569
870	16533	550
871	16549	531
872	16565	512
873	16584	493
874	16610	474
875	16635	455
876	16661	436
877	16685	418
878	16708	399
879	16727	380
880	16742	361
881	16757	341
882	16771	322
883	16785	303
884	16806	284
885	16829	265
886	16881	247
887	16903	228
888	16921	209
889	16938	190
890	16956	171
891	16972	152
892	16988	133
893	17011	114
894	17072	95
895	17093	76
896	17111	57
897	17131	38
898	17146	19
899	17159	0
